Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),ROOM1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep) 
 01/08  18:00:00,16.7,20.999999999999996,581961.9408178612,0.0 
 01/08  19:00:00,16.4,21.0,733001.0848038943,0.0 
 01/08  20:00:00,14.5,21.0,707057.0690033525,0.0 
 01/08  21:00:00,12.5,21.0,747853.5096143183,0.0 
 01/08  22:00:00,12.4,21.0,839008.4385400943,0.0 
 01/08  23:00:00,11.2,21.0,1120036.0678730877,0.0 
 01/08  24:00:00,11.1,21.0,1286732.7623459066,0.0 
 01/09  01:00:00,11.0,21.0,1474746.3330490552,0.0 
 01/09  02:00:00,9.6,21.0,1727453.616719191,0.0 
 01/09  03:00:00,9.4,20.999999999999996,1994085.450922009,0.0 
 01/09  04:00:00,8.2,21.0,2281754.938783235,0.0 
 01/09  05:00:00,8.2,21.0,2577490.7405249267,0.0 
 01/09  06:00:00,8.4,21.000000000000004,2881093.574289767,0.0 
 01/09  07:00:00,8.2,21.0,3190769.3497625683,0.0 
 01/09  08:00:00,7.6,21.0,3499473.9022999485,0.0 
 01/09  09:00:00,8.7,20.999999999999996,3172941.4756514225,0.0 
 01/09  10:00:00,10.1,21.0,3132196.224641889,0.0 
 01/09  11:00:00,15.3,20.999999999999993,2941159.488311136,0.0 
 01/09  12:00:00,16.4,21.000000000000004,2671268.232589289,0.0 
 01/09  13:00:00,16.8,20.999999999999996,2244078.7451827507,0.0 
 01/09  14:00:00,19.8,21.0,1707746.856861152,0.0 
 01/09  15:00:00,19.8,20.999999999999993,1174515.2420985233,0.0 
 01/09  16:00:00,17.7,21.0,739908.5413424323,0.0 
 01/09  17:00:00,17.5,21.0,443681.70210335625,0.0 
 01/09  18:00:00,17.4,21.0,322345.30665241985,0.0 
 01/09  19:00:00,16.1,20.999999999999996,477601.0640667224,0.0 
 01/09  20:00:00,13.6,21.000000000000004,452997.46971103904,0.0 
 01/09  21:00:00,11.8,20.999999999999996,511019.7163546836,0.0 
 01/09  22:00:00,11.5,20.999999999999996,641672.9887605532,0.0 
 01/09  23:00:00,10.0,21.0,978292.5758811303,0.0 
