Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ROOM1:Zone Total Internal Total Heating Energy [J](TimeStep),ROOM1:Space Total Internal Convective Heating Rate [W](Hourly),ROOM1:Zone People Total Heating Energy [J](Hourly),ROOM1:Zone People Total Heating Rate [W](Hourly),ROOM1:Zone Lights Total Heating Energy [J](Hourly),ROOM1:Zone Lights Total Heating Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Rate [W](Hourly),ROOM1:Zone Windows Total Heat Loss Rate [W](Hourly),ROOM1:Zone Windows Total Heat Gain Energy [J](Hourly),ROOM1:Zone Windows Total Heat Loss Energy [J](Hourly),WALL_NORTH:Surface Inside Face Temperature [C](Hourly),WALL_NORTH:Surface Outside Face Temperature [C](Hourly),WALL_SOUTH:Surface Inside Face Temperature [C](Hourly),WALL_SOUTH:Surface Outside Face Temperature [C](Hourly),WALL_EAST:Surface Inside Face Temperature [C](Hourly),WALL_EAST:Surface Outside Face Temperature [C](Hourly),WALL_WEST:Surface Inside Face Temperature [C](Hourly),WALL_WEST:Surface Outside Face Temperature [C](Hourly),FLOOR:Surface Inside Face Temperature [C](Hourly),FLOOR:Surface Outside Face Temperature [C](Hourly),ROOF:Surface Inside Face Temperature [C](Hourly),ROOF:Surface Outside Face Temperature [C](Hourly),MYBINDO:Surface Inside Face Temperature [C](Hourly),MYBINDO:Surface Outside Face Temperature [C](Hourly),ROOM1:Zone Mean Air Temperature [C](TimeStep),ROOM1:Zone Exfiltration Heat Transfer Rate [W](TimeStep),ROOM1:Zone Exhaust Air Heat Transfer Rate [W](TimeStep),Environment:Site Total Zone Exfiltration Heat Loss [J](Hourly),Environment:Site Total Zone Exhaust Air Heat Loss [J](Hourly),ROOM1:Zone Air System Sensible Heating Energy [J](TimeStep),ROOM1:Zone Air System Sensible Cooling Energy [J](TimeStep),ROOM1:Zone Air System Sensible Heating Rate [W](Hourly),ROOM1:Zone Air System Sensible Cooling Rate [W](Hourly) 
 11/19  03:00:00,14.1,79200.0,14.913857616431008,43200.0,12.0,36000.0,10.0,0.0,56.49838256802731,0.0,203394.1772448983,23.37570492557038,16.284616625757984,24.103807893903646,20.255827071458928,23.580911999715973,17.50620993512388,23.542511736498824,17.342488781539828,23.388261593910308,17.71271338458709,23.562162024771123,13.143923549760952,19.452383173160342,14.848364277189603,23.663930456699045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/19  04:00:00,13.2,79200.0,14.977016858457187,43200.0,12.0,36000.0,10.0,0.0,59.130233444777026,0.0,212868.8404011973,23.168665145454963,15.792730990663609,23.866925588208186,19.498799583781846,23.362541971788154,16.909157804629032,23.326305112167514,16.78777334388362,23.18458188605654,17.272635911708015,23.32307459735363,12.604219626747339,19.073449393177327,14.273581103951301,23.44169982879759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/19  05:00:00,13.1,79200.0,15.048583659103201,43200.0,12.0,36000.0,10.0,0.0,58.51836717012963,0.0,210666.12181246668,22.934453054021088,15.50789215171899,23.60247824769513,19.01155230314332,23.117790449824785,16.54995122921743,23.083733750692936,16.452384161889892,22.95428063664679,17.03072412231091,23.0593336666645,12.1346154454962,18.891851762419947,14.116744674680945,23.203213227011233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/19  06:00:00,13.8,79200.0,15.124560388027797,43200.0,12.0,36000.0,10.0,0.0,54.924452358430415,0.0,197728.0284903495,22.683771754443953,15.494271814061284,23.320370920897336,18.838694523370584,22.85724769122892,16.486118601810244,22.82532376346132,16.396927497768786,22.707543629245055,17.055041194425975,22.781507932785594,11.822270682509416,18.90051141688832,14.396519756751388,22.954099866992394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/19  07:00:00,13.8,79200.0,15.203010397381458,43200.0,12.0,36000.0,10.0,0.0,53.9021435122211,0.0,194047.71664399595,22.41673026477937,15.340853251893034,23.023622610474366,18.49081479548567,22.58077394739077,16.267137294810134,22.550971144782142,16.193091938238087,22.443808729583687,16.949097159414876,22.489007712352947,11.524029518289504,18.71199188066271,14.296376265180811,22.683714408596295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/19  08:00:00,14.7,79200.0,15.287104510391824,43200.0,12.0,36000.0,10.0,199.43207159323592,0.0,717955.4577356493,0.0,22.587409311330184,15.871108271112366,23.10633247214625,18.803229580509228,22.75236691273104,16.743026004279194,22.722261229227986,17.853169164324456,22.90666979317778,17.106256218841118,22.646832214655934,13.123644798245216,21.20390788219339,17.108031392581097,22.78346413895165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/19  09:00:00,16.5,727200.0,94.09933763465816,691200.0,192.0,36000.0,10.0,629.4731513048368,0.0,2266103.3446974126,0.0,23.526856865433032,17.172901340151736,23.93210978111208,22.33872409796685,23.716144912801003,18.020568041944202,23.678256277341866,24.22555768919367,24.516015666297598,17.586026382241997,23.58356485751197,19.077347521493856,25.509918228733113,21.769223032922696,23.875173769103878,0.0,0.0,0.0,0.0,0.0,254490.78398590564,0.0,70.69188444052935 
 11/19  10:00:00,19.4,727200.0,87.8781720221676,691200.0,192.0,36000.0,10.0,932.9056702105694,0.0,3358460.4127580496,0.0,24.86380722508147,19.080644756978167,25.24181762670284,30.582231097621303,25.03285660482311,19.877191840945244,25.00434213673209,29.052389678344483,26.372227086660715,18.50166813678321,24.910968093222234,26.171021184324193,28.96140249306484,25.584056964538775,23.99999778809169,0.0,0.0,0.0,0.0,0.0,996215.7444675508,0.0,276.72659568543077 
 11/19  11:00:00,24.0,813600.0,97.61286278107819,777600.0,216.0,36000.0,10.0,1124.4440053319706,0.0,4047998.419195094,0.0,25.91714919446402,21.682232125059702,26.145524566735713,39.63585836798111,26.04150146659235,22.412052939305465,26.033812942558626,30.811023038680894,27.54596391636231,20.330334542694242,26.060629669844577,32.57924273112489,31.885978138397945,29.54386612194537,23.999999581670547,0.0,0.0,0.0,0.0,0.0,1789600.802239995,0.0,497.1113339555542 
 11/19  12:00:00,24.7,813600.0,97.61285216742071,777600.0,216.0,36000.0,10.0,1219.767516712081,0.0,4391163.060163491,0.0,26.531901012576355,22.993700372088195,26.715149133560708,46.428749155490785,26.640911805910854,23.677304851151728,26.65734302142366,29.2096642507204,28.23923082206455,21.08489574561813,26.76915971427661,36.910849796242886,33.14280530328199,30.74522027196349,23.999999908230187,0.0,0.0,0.0,0.0,0.0,2521271.7622579583,0.0,700.3532672938774 
